"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_19277",158,81,86,90,80,329
"PITA_36893",0,0,0,0,0,0
"PITA_43071",228,122,145,128,133,127
"PITA_31484",0,0,0,0,0,0
"PITA_22913",0,0,0,0,0,0
"PITA_43120",69,17,70,53,24,15
"PITA_19387",1377,930,839,752,789,1249
"PITA_38886",149,59,58,47,44,80
"PITA_15089",562,346,387,413,359,399
"PITA_43425",3456,2481,2364,2742,1992,2978
"PITA_44438",13,9,15,8,4,10
"PITA_26651",154,64,56,84,50,73
"PITA_19182",787,267,441,430,402,425
"PITA_21018",0,0,0,9,0,0
"PITA_00738",0,0,0,3,1,8
"PITA_12881",0,0,0,3,0,0
"PITA_22837",24,0,25,29,47,21
"PITA_28084",0,1,4,2,4,3
"PITA_24393",1001,705,564,490,501,806
"PITA_06390",12,15,3,20,9,15
"PITA_11122",4,1,6,1,10,3
"PITA_28325",9,5,2,2,2,5
"PITA_04421",526,646,411,744,574,799
"PITA_02148",1578,1055,759,808,838,1294
"PITA_46549",0,0,1,1,0,0
"PITA_33978",0,0,0,0,0,1
"PITA_27922",86,93,82,95,105,122
"PITA_17693",333,431,271,229,0,296
"PITA_45756",93,11,11,90,141,65
"PITA_04237",0,0,0,0,0,0
"PITA_10793",1,0,1,0,0,0
"PITA_45207",222,30,195,127,70,16
"PITA_38479",0,0,0,0,0,0
"PITA_40230",274,117,140,135,134,144
"PITA_41083",4,6,0,1,2,3
"PITA_01883",0,0,0,0,0,0
"PITA_15800",6,5,2,2,2,0
"PITA_36030",0,0,0,0,0,0
"PITA_10648",0,0,0,0,0,0
"PITA_03586",0,0,0,0,0,0
"PITA_07612",18,8,5,4,9,14
"PITA_38928",16,14,0,3,5,7
"PITA_19726",5,0,0,0,0,0
"PITA_26337",137,33,54,140,159,52
"PITA_43098",19930,12212,11270,12822,10059,14961
"PITA_14486",67,29,34,51,52,34
"PITA_38668",74,66,59,62,96,45
"PITA_50226",0,0,0,17,8,8
"PITA_15610",41,179,43,182,75,107
"PITA_26936",46,38,20,27,28,82
"PITA_15789",82,21,42,0,113,0
"PITA_02801",1846,944,1073,1051,1016,1152
"PITA_31703",1,0,0,3,0,0
"PITA_12799",56,22,19,34,11,26
"PITA_19917",415,300,33,261,98,211
"PITA_41142",12,6,0,0,8,0
"PITA_21911",3,7,10,10,11,13
"PITA_14269",0,0,0,0,0,0
"PITA_19090",0,0,0,0,0,0
"PITA_45682",0,0,0,0,0,0
"PITA_04896",350,68,208,155,110,82
"PITA_01862",337,341,262,518,264,463
"PITA_19173",0,2,0,1,0,0
"PITA_49576",0,0,0,0,0,0
"PITA_20319",162,144,62,55,58,127
"PITA_36180",0,0,0,0,0,0
"PITA_24620",0,0,0,0,0,0
"PITA_18371",181,28,224,155,165,60
"PITA_48694",183,94,133,193,84,88
"PITA_38935",51,20,32,28,32,8
"PITA_40633",0,2,0,2,0,1
"PITA_38718",0,0,0,0,0,0
"PITA_22856",0,0,0,0,0,0
"PITA_00769",1,2,0,4,2,7
"PITA_09376",0,0,0,0,0,0
"PITA_16017",0,0,0,0,0,0
"PITA_12741",0,0,0,1,2,0
"PITA_48841",89,40,28,34,23,41
"PITA_01081",529,395,237,302,262,334
"PITA_21523",73,41,42,36,54,42
"PITA_20069",0,1,0,1,1,0
"PITA_12241",166,33,18,143,35,35
"PITA_04901",0,0,0,0,3,2
"PITA_34565",0,0,1,0,0,0
"PITA_35492",0,0,0,0,0,0
"PITA_39296",111,64,70,45,51,40
"PITA_46117",46,50,56,43,35,74
"PITA_41685",655,444,258,374,294,585
"PITA_31525",5,0,0,0,0,0
"PITA_40164",1524,837,908,1211,965,1153
"PITA_18925",268,216,201,205,205,286
"PITA_30499",274,203,92,223,188,81
"PITA_08531",1,0,0,0,0,0
"PITA_16720",26,9,17,0,5,13
"PITA_08585",4,1,0,2,1,0
"PITA_38161",91,104,125,47,33,39
"PITA_33212",5,22,4,7,5,32
"PITA_26761",1557,771,791,913,734,1462
"PITA_20946",82,87,59,86,74,78
"PITA_27144",696,374,359,377,300,374
"PITA_13123",191,131,153,227,128,198
"PITA_36245",5,4,9,3,6,6
"PITA_19528",71,44,54,44,57,64
"PITA_40780",7,2,0,1,8,1
"PITA_31519",0,0,0,4,20,0
"PITA_18557",0,0,0,0,0,0
"PITA_29450",8,0,8,8,2,4
"PITA_33184",301,90,175,189,118,108
"PITA_01640",328,167,146,126,87,148
"PITA_11179",0,0,0,0,0,0
"PITA_35220",54,16,18,17,45,39
"PITA_39216",7,22,0,26,3,14
"PITA_15346",711,391,392,314,360,381
"PITA_22476",62,9,53,0,9,36
"PITA_15152",0,0,75,12,0,0
"PITA_24709",293,227,196,344,198,183
"PITA_20415",0,0,0,1,0,0
"PITA_47717",58,42,36,40,36,52
"PITA_01696",92,45,35,47,38,80
"PITA_39838",99,91,66,64,72,98
"PITA_47651",537,245,267,361,313,237
"PITA_30505",0,0,0,0,0,0
"PITA_40588",214,109,145,129,147,111
"PITA_31142",0,0,0,0,0,0
"PITA_25784",80,0,54,10,21,26
"PITA_21614",627,560,455,484,473,528
"PITA_04441",6,0,0,5,8,10
"PITA_28580",198,197,60,232,96,210
"PITA_09888",0,0,0,0,0,0
"PITA_46497",0,0,0,0,0,0
"PITA_03626",0,0,0,0,2,0
"PITA_50780",38,18,24,14,18,15
"PITA_42850",279,129,140,216,119,233
"PITA_04656",0,0,0,0,0,0
"PITA_17372",179,171,155,149,121,178
"PITA_07719",144,493,327,564,544,286
"PITA_15736",724,302,435,712,551,196
"PITA_25890",0,0,0,0,0,0
"PITA_48303",0,0,0,0,0,0
"PITA_32765",10,0,4,0,0,0
"PITA_23973",67,51,41,41,51,162
"PITA_51636",49,35,26,69,17,108
"PITA_26523",3541,2288,1999,1902,1802,2782
"PITA_23696",267,67,101,102,82,159
"PITA_41665",0,0,0,0,0,0
"PITA_50263",0,0,0,0,0,0
"PITA_07336",1,0,0,3,0,0
"PITA_07974",4,3,2,0,0,0
"PITA_36639",132,80,139,87,82,59
"PITA_25032",3,0,2,1,1,0
"PITA_35194",100,42,87,93,58,69
"PITA_31507",278,140,140,142,87,177
"PITA_18149",53,0,5,12,0,6
"PITA_31046",1732,1124,903,849,867,1197
"PITA_11153",1131,602,693,755,602,740
"PITA_12590",1,1,0,0,1,3
"PITA_16034",0,0,0,0,0,0
"PITA_01592",2,0,0,0,0,0
"PITA_15909",0,0,0,0,0,0
"PITA_27301",60,65,26,98,55,67
"PITA_35709",2,1,3,1,4,1
"PITA_27726",0,0,0,0,0,0
"PITA_10229",2438,1544,1908,1991,1816,2191
"PITA_33084",84,80,115,116,96,104
"PITA_36581",0,0,0,0,0,0
"PITA_28385",11,14,13,16,19,9
"PITA_08687",165,83,140,211,200,184
"PITA_26111",0,0,0,6,5,0
"PITA_48269",0,0,0,0,0,0
"PITA_18670",2,0,0,7,14,0
"PITA_46875",1,0,0,0,1,1
"PITA_24175",0,0,0,0,0,0
"PITA_22468",10,1,17,21,29,40
"PITA_05361",84,44,29,33,30,60
"PITA_08664",0,0,0,0,0,0
"PITA_19139",0,0,0,1,0,0
"PITA_49584",18,4,19,13,17,62
"PITA_40126",1,4,0,0,0,0
"PITA_19497",1367,788,792,736,1042,758
"PITA_09159",627,334,343,439,280,391
"PITA_02116",0,0,0,0,0,0
"PITA_31898",0,0,0,0,0,0
"PITA_15688",1,1,4,4,3,3
"PITA_08831",0,0,0,0,0,0
"PITA_29843",629,0,404,183,268,0
"PITA_51105",0,0,36,51,9,20
"PITA_25417",0,0,0,0,0,0
"PITA_36935",0,0,0,0,0,0
"PITA_16689",5,0,0,1,1,0
"PITA_02836",127,49,73,110,64,36
"PITA_13716",97,27,100,37,48,30
"PITA_13794",0,0,0,1,0,0
"PITA_32117",17,10,4,6,5,8
"PITA_13742",71,34,29,26,15,19
"PITA_22832",57,27,31,45,44,35
"PITA_25062",7,1,0,1,1,1
"PITA_08401",0,0,0,0,0,0
"PITA_18404",0,0,0,0,0,0
"PITA_26994",2194,801,1371,863,831,737
"PITA_17733",284,151,140,190,160,208
"PITA_27948",838,414,379,310,479,403
"PITA_38968",135,47,118,115,126,27
"PITA_14794",4,0,0,0,0,0
"PITA_19439",1,0,0,1,2,1
"PITA_39468",0,0,0,0,0,0
"PITA_07422",0,0,0,0,2,0
"PITA_10511",5,1,0,3,0,2
"PITA_07373",0,0,0,0,0,0
"PITA_10948",401,423,306,250,258,466
"PITA_26687",0,0,0,0,0,0
"PITA_47487",146,132,83,123,80,132
"PITA_38099",7,0,6,4,1,0
"PITA_27247",65,20,31,10,33,19
"PITA_43438",20,35,25,51,13,32
"PITA_38036",4,0,1,0,1,1
"PITA_03205",0,0,2,0,0,1
"PITA_34018",4,1,9,2,1,0
"PITA_27126",462,203,346,371,425,166
"PITA_12051",1,5,24,21,4,2
"PITA_02723",713,431,531,440,493,592
"PITA_16686",950,681,458,863,685,924
"PITA_38992",0,0,0,0,0,0
"PITA_09760",0,0,0,0,3,0
"PITA_09143",0,0,0,0,0,0
"PITA_31680",748,388,531,330,328,421
"PITA_27490",0,0,0,0,0,0
"PITA_29841",299,163,164,182,188,264
"PITA_31888",8,1,5,3,2,2
"PITA_33044",0,0,0,0,0,0
"PITA_04928",0,0,1,0,0,1
"PITA_16613",18,13,9,10,17,17
"PITA_24885",25,20,36,73,15,14
"PITA_34388",0,0,3,2,0,1
"PITA_18350",13,1,15,9,0,0
"PITA_38586",1,0,0,0,0,0
"PITA_41158",23,10,13,15,12,25
"PITA_10294",1325,752,898,845,842,998
"PITA_43889",0,0,0,0,0,0
"PITA_38619",12,2,4,17,3,6
"PITA_07587",5,7,2,3,1,8
"PITA_22218",4591,2292,1856,2988,2416,1979
"PITA_29700",0,0,0,0,0,0
"PITA_18476",1,2,2,2,2,2
"PITA_48079",6,0,10,0,0,11
"PITA_25567",0,0,0,0,0,0
"PITA_35806",45,134,34,53,11,30
"PITA_47584",0,0,0,0,0,0
"PITA_18174",125,135,109,125,127,81
"PITA_25343",252,54,147,614,480,169
"PITA_00696",2,3,10,4,1,1
"PITA_15981",0,0,0,0,0,0
"PITA_39738",1060,554,672,597,715,745
"PITA_50711",1,0,0,0,0,0
"PITA_10368",0,0,0,0,0,0
"PITA_03622",9,3,1,0,2,4
"PITA_39725",180,132,101,90,146,27
"PITA_14103",1,7,0,1,6,1
"PITA_00365",113,21,47,30,11,11
"PITA_12903",24,1,12,20,9,4
"PITA_03146",1899,1055,981,911,918,1182
"PITA_10048",32,26,20,12,21,24
"PITA_04859",86,35,52,47,71,53
"PITA_07671",60,62,67,30,40,61
"PITA_18297",30,16,16,16,16,26
"PITA_41969",0,0,0,0,0,0
"PITA_19523",5,0,30,72,0,2
"PITA_29669",224,54,148,97,61,22
"PITA_18661",19,2,14,0,5,0
"PITA_12610",0,0,0,0,0,0
"PITA_30653",0,0,0,0,0,0
"PITA_27908",122,32,48,43,59,19
"PITA_47130",1101,1304,2034,6607,2275,1493
"PITA_08787",48,0,14,26,27,8
"PITA_49686",0,0,0,0,0,0
"PITA_26195",17,24,24,33,17,16
"PITA_38243",18,4,6,1,4,2
"PITA_24770",151,95,66,98,59,103
"PITA_19643",0,0,0,0,0,4
"PITA_03529",74,86,93,33,89,96
"PITA_40370",2,4,13,11,34,7
"PITA_18913",1462,1001,676,1070,824,1314
"PITA_33192",529,409,208,229,268,367
"PITA_24246",113,78,86,61,39,106
"PITA_24274",0,0,0,0,0,1
"PITA_44139",494,219,268,211,201,191
"PITA_07792",17,2,5,44,29,0
"PITA_28328",19,25,13,33,7,15
"PITA_21851",0,0,0,0,0,0
"PITA_47165",131,69,50,69,53,16
"PITA_48212",2,24,2,16,8,15
"PITA_15082",356,96,103,181,253,143
"PITA_38759",0,0,0,2,0,0
"PITA_00008",36,19,10,13,9,15
"PITA_13753",11,6,4,23,22,818
"PITA_12485",161,77,91,98,89,77
"PITA_15211",191,112,85,89,325,373
"PITA_14878",155,103,104,83,173,252
"PITA_41927",0,0,0,2,0,0
"PITA_44654",89,57,39,40,17,79
"PITA_30477",82,14,40,17,10,2
"PITA_36575",3,0,18,12,1,0
"PITA_21580",54,34,22,40,41,50
"PITA_50687",0,0,0,0,0,0
"PITA_21793",1,0,0,0,0,0
"PITA_36304",0,0,0,0,0,0
"PITA_22807",0,0,0,0,0,0
"PITA_41765",0,0,0,0,0,0
"PITA_19915",0,0,0,0,0,0
"PITA_16721",27,13,5,14,11,14
"PITA_50743",20,33,43,21,42,53
"PITA_03228",377,268,208,298,207,254
"PITA_41491",0,0,0,0,0,0
"PITA_48238",629,539,393,274,194,546
"PITA_06934",0,9,0,8,0,2
"PITA_34073",160,73,103,66,56,85
"PITA_35396",0,0,0,0,0,0
"PITA_05873",130,44,65,52,77,47
"PITA_48720",9,1,0,0,8,0
"PITA_38353",1,0,3,1,1,3
"PITA_48218",17,9,10,18,16,19
"PITA_08158",143,61,61,63,38,66
"PITA_26243",0,0,0,0,0,0
